ma_khach_hang,ma_san_pham,so_sao,count,count,ma_khach_hang_idx,ma_san_pham_idx
1,100190059,4.0,110,13,296.0,31.0
1,204900004,4.0,105,13,296.0,34.0
1,204900128,4.0,105,13,296.0,33.0
1,204900159,4.0,107,13,296.0,35.0
1,318900011,5.0,113,13,296.0,78.0
1,422210784,4.0,109,13,296.0,29.0
1,422211640,5.0,29,13,296.0,204.0
1,422212331,5.0,28,13,296.0,190.0
1,422212333,5.0,29,13,296.0,191.0
1,422222535,5.0,29,13,296.0,206.0
6,100220035,5.0,141,6,1254.0,60.0
6,100240016,5.0,144,6,1254.0,57.0
6,318900011,5.0,113,6,1254.0,78.0
6,318900012,5.0,110,6,1254.0,82.0
6,422209052,5.0,10,6,1254.0,470.0
16,100250033,5.0,17,16,159.0,350.0
16,205100136,5.0,295,16,159.0,3.0
16,205100137,5.0,299,16,159.0,4.0
16,225200013,5.0,31,16,159.0,151.0
16,225200015,5.0,30,16,159.0,158.0
16,318900011,5.0,113,16,159.0,78.0
16,318900012,5.0,110,16,159.0,82.0
16,422204259,5.0,307,16,159.0,0.0
16,422206648,5.0,294,16,159.0,5.0
16,422208807,5.0,292,16,159.0,6.0
16,422211446,5.0,298,16,159.0,7.0
16,422211447,5.0,298,16,159.0,2.0
16,422218746,5.0,31,16,159.0,161.0
17,205100136,5.0,295,19,106.0,3.0
17,205100137,5.0,299,19,106.0,4.0
17,205100146,5.0,298,19,106.0,1.0
17,318900011,5.0,113,19,106.0,78.0
17,318900012,5.0,110,19,106.0,82.0
17,327500002,5.0,77,19,106.0,113.0
17,422204259,5.0,307,19,106.0,0.0
17,422206648,5.0,294,19,106.0,5.0
17,422208181,5.0,73,19,106.0,119.0
17,422208974,5.0,64,19,106.0,49.0
17,422208976,5.0,59,19,106.0,55.0
17,422211446,5.0,298,19,106.0,7.0
17,422211447,5.0,298,19,106.0,2.0
18,100750038,5.0,77,6,1143.0,148.0
18,318900011,5.0,113,6,1143.0,78.0
18,318900012,5.0,110,6,1143.0,82.0
18,422204795,5.0,175,6,1143.0,90.0
18,422216416,3.0,120,6,1143.0,85.0
23,100210015,5.0,11,21,81.0,440.0
23,100750038,5.0,77,21,81.0,148.0
23,208000001,5.0,11,21,81.0,397.0
23,318900011,5.0,113,21,81.0,78.0
23,318900012,5.0,110,21,81.0,82.0
23,418800002,5.0,20,21,81.0,288.0
23,418800002,5.0,20,21,81.0,288.0
23,418800004,5.0,20,21,81.0,274.0
23,422202025,5.0,11,21,81.0,232.0
23,422202045,5.0,11,21,81.0,233.0
23,422204906,1.0,53,21,81.0,65.0
23,422207423,5.0,24,21,81.0,134.0
23,422207865,5.0,24,21,81.0,137.0
23,422207866,5.0,23,21,81.0,143.0
23,422208910,5.0,23,21,81.0,144.0
23,422218629,5.0,24,21,81.0,138.0
23,422218631,5.0,22,21,81.0,146.0
23,422218633,5.0,11,21,81.0,226.0
24,100230056,5.0,213,18,126.0,25.0
24,100230057,5.0,212,18,126.0,23.0
24,100230059,5.0,213,18,126.0,21.0
24,100230064,5.0,215,18,126.0,24.0
24,200400003,5.0,213,18,126.0,22.0
24,200400004,5.0,220,18,126.0,20.0
24,253900006,4.0,83,18,126.0,112.0
24,256700011,4.0,27,18,126.0,198.0
24,318900011,5.0,113,18,126.0,78.0
24,318900012,5.0,110,18,126.0,82.0
24,422208972,5.0,64,18,126.0,48.0
